word1,word2,cosine_similarity
planet,galaxy,0.131459092505381
planet,moon,0.019844305934973577
planet,people,-0.008727234687988724
planet,space,0.007321003898746568
planet,star,0.27480857503836026
planet,sun,0.049676098683831896
population,development,0.3079289288799245
possibility,girl,0.217281791965777
practice,institution,-0.014396329664853288
precedent,collection,0.26020165394936673
precedent,example,0.46933868376934734
precedent,group,0.28312571687359195
precedent,information,0.06555443480131572
precedent,law,0.005929136945548655
prejudice,recognition,-0.014833907907915844
preservation,world,0.018748434253138817
president,medal,0.0854463056423397
problem,airport,0.03677181346279345
problem,challenge,0.3105701251339947
production,crew,0.2083005189668543
production,hike,-0.04851017071289794
professor,doctor,0.2334153875423714
profit,loss,0.21087951164510346
profit,warning,0.01335027462275707
psychology,anxiety,0.26688852757431436
psychology,clinic,-0.07587884383161883
psychology,depression,0.12008730975752427
psychology,discipline,0.20453316981304992
psychology,doctor,-0.039469068810453305
psychology,fear,0.21360861279427332
psychology,freud,0.1876695917970694
psychology,health,0.2106463343320613
psychology,mind,-0.05011801703770196
psychology,psychiatry,0.08563800890710657
psychology,science,0.4042733543301328
reason,criterion,0.21313548338525473
record,number,0.2649577485469487
registration,arrangement,0.019763713623781053
report,gain,0.22333740572841287
rock,jazz,0.2374114736315652
rooster,voyage,-0.03142600705704005
school,center,0.06367257360789255
seafood,food,0.011994226615308001
seafood,sea,0.041986885148689326
secretary,senate,0.27025963531179403
seven,series,0.04103128351316773
shore,woodland,0.06544149102579937
shower,flood,0.14429061375643193
sign,recess,-0.03092527495002756
situation,conclusion,0.41723858033304073
situation,isolation,0.1669561456960149
size,prominence,-0.08736180638437385
skin,eye,0.12120904498421721
smart,student,0.19267521033057217
smart,stupid,0.1695282149629312
soap,opera,-0.019927375951968435
space,chemistry,0.3126112782793453
space,world,0.3060637613859808
start,match,0.23906105527368382
start,year,0.06957150763183587
stock,cd,0.0850784885307243
stock,egg,0.045779610483647634
stock,jaguar,0.03675333393589131
stock,life,0.12358832732988707
stock,live,0.00043620008914822025
stock,market,0.337877264643992
stock,phone,0.1015248530427143
street,avenue,0.5145526945588238
street,block,0.42514644662650575
street,children,0.0776054763969949
street,place,0.16989844238192423
stroke,hospital,0.06463340212849547
student,professor,0.42271337044183577
sugar,approach,-0.02797546902302716
summer,drought,0.05672877242604167
summer,nature,0.0787060736475787
telephone,communication,0.06478833155370074
television,film,0.12971002810769935
television,radio,0.2637725007621012
tennis,racket,-0.043414483342187525
territory,kilometer,0.015000975092461908
territory,surface,-0.04517694426751162
theater,history,0.11906024316989741
tiger,animal,-0.11566270890593677
tiger,cat,0.24733228865747212
tiger,feline,-0.23591919161605743
tiger,jaguar,-0.09076441574688784
tiger,organism,0.18228929475239902
tiger,tiger,0.9999999999999999
tiger,zoo,0.3703661999123544
tool,implement,0.046994125674203975
train,car,0.29824977052990237
travel,activity,-0.02696332131996494
treatment,recovery,0.06162960184795089
type,kind,0.6676945177349155
victim,emergency,0.008341441199924434
viewer,serial,-0.04859499757003724
volunteer,motto,0.06591500901948026
war,troops,0.031263664843493154
water,seepage,0.24005671248288785
weapon,secret,0.20682143148164217
weather,forecast,-0.18360820040874126
wednesday,news,0.1548586495373394
wood,forest,0.031581337962834084
word,similarity,0.07161854785534733
